username,mention_count,roles,username_lower,is_known_bot,only_comments,high_volume,is_behavioral_bot,suspected_bot
smittal6,1,['author'],smittal6,False,False,False,False,False
Kaixhin,16,"['comment_authors', 'review_comment_authors', 'author']",kaixhin,False,False,False,False,False
shagunsodhani,4,['author'],shagunsodhani,False,False,False,False,False
akhti,3,"['comment_authors', 'review_comment_authors', 'author']",akhti,False,False,False,False,False
albanie,3,"['comment_authors', 'author']",albanie,False,False,False,False,False
kose-y,4,"['comment_authors', 'review_comment_authors', 'author']",kose-y,False,False,False,False,False
pietern,656,"['comment_authors', 'review_comment_authors', 'author']",pietern,False,False,True,True,True
seberg,1,['comment_authors'],seberg,False,True,False,True,True
bermanmaxim,4,"['comment_authors', 'author']",bermanmaxim,False,False,False,False,False
jpchen,4,"['comment_authors', 'review_comment_authors', 'author']",jpchen,False,False,False,False,False
knsong,1,['comment_authors'],knsong,False,True,False,True,True
justheuristic,2,"['comment_authors', 'author']",justheuristic,False,False,False,False,False
sotte,1,['author'],sotte,False,False,False,False,False
ailzhang,753,"['comment_authors', 'review_comment_authors', 'author']",ailzhang,False,False,True,True,True
MlWoo,10,"['comment_authors', 'review_comment_authors', 'author']",mlwoo,False,False,False,False,False
tomekkorbak,2,"['comment_authors', 'author']",tomekkorbak,False,False,False,False,False
hadaev8,1,['comment_authors'],hadaev8,False,True,False,True,True
bratao,1,['comment_authors'],bratao,False,True,False,True,True
yusufziyaisik,1,['comment_authors'],yusufziyaisik,False,True,False,True,True
shaktikshri,1,['comment_authors'],shaktikshri,False,True,False,True,True
rafaelvalle,1,['comment_authors'],rafaelvalle,False,True,False,True,True
cpuhrsch,1341,"['comment_authors', 'review_comment_authors', 'author']",cpuhrsch,False,False,True,True,True
jon-barker,1,['comment_authors'],jon-barker,False,True,False,True,True
alexholdenmiller,2,"['comment_authors', 'author']",alexholdenmiller,False,False,False,False,False
akshayMpatel,4,"['comment_authors', 'review_comment_authors', 'author']",akshaympatel,False,False,False,False,False
Roger-luo,8,"['comment_authors', 'review_comment_authors', 'author']",roger-luo,False,False,False,False,False
davinnovation,5,"['comment_authors', 'review_comment_authors', 'author']",davinnovation,False,False,False,False,False
albanD,3964,"['comment_authors', 'review_comment_authors', 'author']",alband,False,False,True,True,True
zsk423200,1,['comment_authors'],zsk423200,False,True,False,True,True
Yi-Li,1,['comment_authors'],yi-li,False,True,False,True,True
stdacore,1,['comment_authors'],stdacore,False,True,False,True,True
cyang49,1,['comment_authors'],cyang49,False,True,False,True,True
JustinLin610,1,['comment_authors'],justinlin610,False,True,False,True,True
ruotianluo,7,"['comment_authors', 'review_comment_authors', 'author']",ruotianluo,False,False,False,False,False
jinserk,2,['comment_authors'],jinserk,False,True,False,True,True
calclavia,2,['comment_authors'],calclavia,False,True,False,True,True
meder411,1,['comment_authors'],meder411,False,True,False,True,True
avati,1,['review_comment_authors'],avati,False,True,False,True,True
li-roy,344,"['comment_authors', 'review_comment_authors', 'author']",li-roy,False,False,False,False,False
temporaer,1,['author'],temporaer,False,False,False,False,False
tbrx,3,"['comment_authors', 'review_comment_authors', 'author']",tbrx,False,False,False,False,False
ebetica,63,"['comment_authors', 'review_comment_authors', 'author']",ebetica,False,False,False,False,False
vedanuj,20,"['comment_authors', 'review_comment_authors', 'author']",vedanuj,False,False,False,False,False
quanvuong,1,['comment_authors'],quanvuong,False,True,False,True,True
jonmorton,5,"['comment_authors', 'author']",jonmorton,False,False,False,False,False
sdmonov,25,"['comment_authors', 'review_comment_authors', 'author']",sdmonov,False,False,False,False,False
fmder,9,"['comment_authors', 'author']",fmder,False,False,False,False,False
LukasMosser,3,"['comment_authors', 'author']",lukasmosser,False,False,False,False,False
wickedfoo,4,"['comment_authors', 'review_comment_authors']",wickedfoo,False,True,False,True,True
jamesr66a,1428,"['author', 'comment_authors', 'review_comment_authors']",jamesr66a,False,False,True,True,True
