repo,metric,pre_during_corr,during_post_corr
scikit-learn,degree,0.3238942676005137,0.5157256702858718
scikit-learn,betweenness,0.4286689154227206,0.3148148148148149
pytorch,degree,0.4438796219298196,0.7414063525297804
pytorch,betweenness,0.3159987747853615,0.526207131110827
kubernetes,degree,0.5522955302193769,0.7087437442096713
kubernetes,betweenness,0.5184298303694329,0.6288983203911538
apache-spark,degree,0.31287913472697226,0.3262944847829255
apache-spark,betweenness,0.34404702841805357,0.38762140950989843
