repo,phase_pair,node_retention,edge_overlap
scikit-learn,pre-during,0.23157894736842105,0.06521739130434782
scikit-learn,during-post,0.11450381679389313,0.031746031746031744
pytorch,pre-during,0.46518105849582175,0.22818254603682947
pytorch,during-post,0.26525529265255293,0.17255871446229915
kubernetes,pre-during,0.44568965517241377,0.18527932507706452
kubernetes,during-post,0.22097902097902097,0.0966576819407008
apache-spark,pre-during,0.313953488372093,0.04381443298969072
apache-spark,during-post,0.2524752475247525,0.029585798816568046
