num_nodes,num_edges,density,avg_clustering,modularity,repo,phase
95,138,0.030907054871220606,0.259661681091044,0.4765639719855082,scikit-learn,pre
131,189,0.022196124486200824,0.20087114630682273,0.4976296694436979,scikit-learn,during
35,52,0.08739495798319327,0.14660387231815802,0.36334256694367495,scikit-learn,post
359,2498,0.03887272217986026,0.6962263448987344,0.2411210158544367,pytorch,pre
803,8090,0.025123989528047876,0.5727040483480291,0.4089294875740684,pytorch,during
365,4539,0.0683275628481108,0.6617423556122238,0.38116358785732696,pytorch,post
1160,18491,0.027507363660706316,0.672397537336798,0.33849748233007265,kubernetes,pre
1430,18550,0.01815539254307624,0.6614033830513495,0.36230985700618745,kubernetes,during
423,4072,0.045623116309815914,0.6525786694363757,0.3806866757493357,kubernetes,post
172,388,0.026383788929688564,0.30249300724320455,0.6097931034927032,apache-spark,pre
202,338,0.016649426136643514,0.19369195854129134,0.6495788008838277,apache-spark,during
76,103,0.03614035087719298,0.2520230500493658,0.6985110781466988,apache-spark,post
