,pre_during,during_post,pre_post
scikit-learn,0.07424593967517401,0.0420032310177706,0.026278409090909092
pytorch,0.058002341709447895,0.07279370432827431,0.021306080027715227
kubernetes,0.11315305854555001,0.0856336438046853,0.037828371278458846
apache-spark,0.14382490880667015,0.16944444444444445,0.06539923954372624
