repository,username,mention_count,roles,is_known_bot,only_comments,high_volume,suspected_bot
apache-spark,janekdb,3,['review_comment_authors'],False,True,False,True
apache-spark,constzhou,7,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,mayurdb,6,"['author', 'comment_authors']",False,False,False,False
apache-spark,leanken-zz,69,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,niebloomj,1,['comment_authors'],False,True,False,True
apache-spark,dzlab,2,"['author', 'review_comment_authors']",False,False,False,False
apache-spark,navinvishy,7,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,ahshahid,33,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,ramrock2008,1,['author'],False,False,False,False
apache-spark,sekingme,2,"['author', 'comment_authors']",False,False,False,False
apache-spark,sachinaraballi,2,"['author', 'review_comment_authors']",False,False,False,False
apache-spark,DeyinZhong,2,"['author', 'review_comment_authors']",False,False,False,False
apache-spark,yangBottle,4,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,kyprifog,2,"['comment_authors', 'review_comment_authors']",False,True,False,True
apache-spark,kujon,3,"['author', 'comment_authors']",False,False,False,False
apache-spark,phancey,1,['comment_authors'],False,True,False,True
apache-spark,sixdimensionalarray,1,['comment_authors'],False,True,False,True
apache-spark,timschwab,1,['comment_authors'],False,True,False,True
apache-spark,titsuki,2,"['author', 'comment_authors']",False,False,False,False
apache-spark,dossett,1,['comment_authors'],False,True,False,True
apache-spark,mundaym,13,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,hauntsaninja,4,"['author', 'comment_authors']",False,False,False,False
apache-spark,prgitpr,3,['author'],False,False,False,False
apache-spark,gemelen,19,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,odidev,2,['comment_authors'],False,True,False,True
apache-spark,danielradulov,1,['comment_authors'],False,True,False,True
apache-spark,jles01,1,['comment_authors'],False,True,False,True
apache-spark,CHENXCHEN,7,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,sadikovi,185,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,razajafri,4,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,yanxiaole,7,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,Lobo2008,1,['comment_authors'],False,True,False,True
apache-spark,kimminw00,1,['author'],False,False,False,False
apache-spark,msamirkhan,13,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,rohitmishr1484,6,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,qiuwenxiang0103,1,['author'],False,False,False,False
apache-spark,Comonut,2,"['author', 'comment_authors']",False,False,False,False
apache-spark,mingjialiu,7,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,tianhanhu,12,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,Louiszr,6,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,kelvin-qin,2,"['author', 'comment_authors']",False,False,False,False
apache-spark,Smith-Cruise,2,"['author', 'comment_authors']",False,False,False,False
apache-spark,dlutleixin,1,['comment_authors'],False,True,False,True
apache-spark,shockdm,3,"['comment_authors', 'review_comment_authors']",False,True,False,True
apache-spark,SQUIDwarrior,2,['comment_authors'],False,True,False,True
apache-spark,anchovYu,69,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,farhan5900,6,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,michal-wieleba,1,['author'],False,False,False,False
apache-spark,linhongliu-db,140,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,dmoore62,2,"['author', 'comment_authors']",False,False,False,False
apache-spark,waleedfateem,2,"['author', 'review_comment_authors']",False,False,False,False
apache-spark,JayisGH,1,['author'],False,False,False,False
apache-spark,ora-mayadong,1,['comment_authors'],False,True,False,True
apache-spark,unirt,1,['author'],False,False,False,False
apache-spark,harshjk,1,['author'],False,False,False,False
apache-spark,catalinii,4,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,Olwn,2,"['author', 'comment_authors']",False,False,False,False
apache-spark,KevinSmile,10,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,q2w,9,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,rondefreitas,3,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,Gaurangi94,5,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,encarvlucas,1,['comment_authors'],False,True,False,True
apache-spark,andyvanyperenAM,1,['comment_authors'],False,True,False,True
apache-spark,itholic,1227,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
apache-spark,hotienvu,3,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,rf972,1,['review_comment_authors'],False,True,False,True
apache-spark,linar-jether,3,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,samkumar,1,['comment_authors'],False,True,False,True
apache-spark,drakesiard,1,['comment_authors'],False,True,False,True
apache-spark,JacekPliszka,1,['comment_authors'],False,True,False,True
apache-spark,jroof88,3,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,gwax,2,"['comment_authors', 'review_comment_authors']",False,True,False,True
apache-spark,opensky142857,5,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,bowenli86,2,"['author', 'comment_authors']",False,False,False,False
apache-spark,jzc928,3,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,holden,1,['comment_authors'],False,True,False,True
apache-spark,vglagoleva,2,"['author', 'comment_authors']",False,False,False,False
apache-spark,lidavidm,6,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,drauschenbach,1,['comment_authors'],False,True,False,True
apache-spark,wkwzzc,1,['author'],False,False,False,False
apache-spark,nssalian,8,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,rcrowe-google,1,['comment_authors'],False,True,False,True
apache-spark,tvalentyn,1,['comment_authors'],False,True,False,True
apache-spark,ankits,3,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,luluorta,21,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,laflechejonathan,3,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,yamyamyuo,1,['review_comment_authors'],False,True,False,True
apache-spark,reidy-p,2,"['author', 'review_comment_authors']",False,False,False,False
apache-spark,yuningzh-db,6,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,karenfeng,83,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,rwpenney,6,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,manubatham20,2,"['author', 'comment_authors']",False,False,False,False
apache-spark,fsamuel-bs,6,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,AparnaRoy23,1,['author'],False,False,False,False
apache-spark,brians,1,['author'],False,False,False,False
apache-spark,ebyhr,1,['author'],False,False,False,False
apache-spark,sfcoy,2,"['author', 'comment_authors']",False,False,False,False
apache-spark,echohlne,42,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,davidrabinowitz,4,"['author', 'comment_authors']",False,False,False,False
apache-spark,bellship24,1,['author'],False,False,False,False
apache-spark,itayB,3,"['author', 'comment_authors']",False,False,False,False
apache-spark,hzyangkai,5,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,AlessandroPatti,2,"['author', 'comment_authors']",False,False,False,False
apache-spark,RogerDunn,2,"['author', 'comment_authors']",False,False,False,False
apache-spark,emilianbold,2,"['author', 'comment_authors']",False,False,False,False
apache-spark,marceloamaral,1,['review_comment_authors'],False,True,False,True
apache-spark,kuwii,16,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,stwhit,3,"['author', 'review_comment_authors']",False,False,False,False
apache-spark,waitinfuture,8,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,GeekSheikh,1,['comment_authors'],False,True,False,True
apache-spark,gaoyajun02,21,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,BigaDev,1,['author'],False,False,False,False
apache-spark,moetazbellah,1,['comment_authors'],False,True,False,True
apache-spark,OYousryB,1,['comment_authors'],False,True,False,True
apache-spark,bozhang2820,72,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,Obbay2,2,"['author', 'comment_authors']",False,False,False,False
apache-spark,caliloo,1,['author'],False,False,False,False
apache-spark,dsabanin,2,"['author', 'comment_authors']",False,False,False,False
